filename,Demo-ResponseID,Stats-Q_TotalDuration,Stats-dataset_count,Stats-CompensationCondition,Stats-ResearcherCode,Stats-Group,Stats-BrowserName,Stats-BrowserVersion,Stats-OperatingSystem,Stats-ScreenResolution,Stats-FlashVersion,Stats-JavaSupport,Stats-UserAgent,Stats-Course,Demo-age,Demo-gender,Demo-lang,Demo-lang_TEXT,Demo-educ,Demo-educ_TEXT,Demo-acfield,Demo-acfieldother,Demo-dailytech_Computer,Demo-dailytech_Tablet,Demo-dailytech_SmartPhone,Demo-weeklygaming,Demo-expdataanal,Demo-expdatavis,Demo-expreadnetvis,Demo-expcreatenetvis,Demo-addlcomments,NetVisExperience
FacultyGrad,R_ZmkjCDj6KzkZsXv,620,3,GiftCard,154787,frucht,Safari,11.0,Macintosh,1280x800,27.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38",NA,39,Male,English,NA,Doctorate degree,NA,Computer sciences,NA,6,NA,1,0,A lot,Some,A little,A little,NA,High
FacultyGrad,R_PMMxllJP0dUpGcF,606,3,Donation,897418,openord,Safari,11.0,Macintosh,2560x1440,27.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38",NA,NA,Male,English,NA,Doctorate degree,NA,Biology,NA,8,NA,2,0,A lot,Some,A little,None,NA,High
FacultyGrad,R_245HR5qf4i26YuB,1921,3,GiftCard,326805,control,Chrome,61.0.3163.100,Windows NT 10.0,1920x1080,-1,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,30,Male,Other,Farsi,Bachelor’s degree,NA,Other,Computational Neuroscience,8,NA,3,0,A lot,A lot,A little,A little,NA,High
FacultyGrad,R_3hn1MQpb4O4wlKC,952,3,Donation,928797,control,MSIE,11.0,Windows NT 6.1,1536x864,-1,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; Zoom 3.6.0; rv:11.0) like Gecko,NA,56,Male,English,NA,Doctorate degree,NA,Medicine,NA,10,1,2,0,Some,A little,None,None,NA,High
FacultyGrad,R_3MyUwSgEqr9cP89,1540,3,Donation,921268,circle,Chrome,61.0.3163.100,Macintosh,1440x900,-1,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,30,Male,English,NA,Doctorate degree,NA,Computer sciences,NA,12,NA,1,4,A lot,Some,A little,None,NA,High
FacultyGrad,R_2dMWzCFOTwvAhZ8,1180,3,GiftCard,310888,openord,Safari,11.0,Macintosh,2560x1440,27.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38",NA,42,Male,English,NA,Doctorate degree,NA,Information science,NA,9,NA,NA,0,A lot,A little,None,None,NA,High
FacultyGrad,R_1K3aKeMbIaEJ47k,1298,3,Donation,997663,circle,Chrome,61.0.3163.100,Windows NT 10.0,1680x1050,27.0.0,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,67,Male,English,NA,Doctorate degree,NA,Economics,NA,4,1,2,2,A little,Some,A little,A little,NA,High
FacultyGrad,R_2CpQESGOR7MCCir,1542,3,GiftCard,542183,frucht,Chrome,61.0.3163.100,Windows NT 10.0,1920x1080,-1,NA,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,64,Male,English,NA,Doctorate degree,NA,Political science,NA,5,NA,1,NA,Some,Some,A little,None,NA,High
FacultyGrad,R_3HuJVaiKRzhOPhL,755,3,GiftCard,379844,circle,Firefox,56.0,Windows NT 10.0,1536x864,-1,NA,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:56.0) Gecko/20100101 Firefox/56.0,NA,45,Male,English,NA,Doctorate degree,NA,Sociology,NA,8,NA,1,0,A lot,Some,Some,A little,It is difficult to understand the point of this survey. Do you expect participants to count the nodes and links? The nodes were way to small and crushed together.,High
FacultyGrad,R_8hKdEYCd0rOxTy1,965,3,Donation,786124,openord,Chrome,61.0.3163.100,Windows NT 10.0,1280x720,27.0.0,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,40,Female,English,NA,Doctorate degree,NA,Sociology,NA,7,NA,1,2,A lot,Some,Some,A little,NA,High
