Demo-ResponseID,QType,Condition,Dataset,Attempt,DatasetOrder,TaskOrder,Click_X,Click_Y,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct,Distance,RawDifference,AbsDifference,Percentage,LogError
R_00QI9tEVok6cpJ7,Exp,Ctrl,3,1,3,3,339,288,10,Ctrl_3_163_138.2,163,138.2,339.5833333333333,287.9166666666667,10,ClickHighDeg,1,TRUE,0.5892556509887682,0,0,0,0
R_00QI9tEVok6cpJ7,Exp,Ctrl,5,1,1,5,425,355,51,Ctrl_5_204.4_170,204.4,170,425.8333333333333,354.1666666666667,51,ClickHighDeg,1,TRUE,1.1785113019775524,0,0,0,0
R_00QI9tEVok6cpJ7,Exp,Ctrl,9,1,2,5,465,293,34,Ctrl_9_223.1_141.1,223.1,141.1,464.7916666666667,293.9583333333333,27,ClickHighDeg,2,FALSE,0.9807168579949624,-7,7,0.20588235294117646,0.9030899869919435
R_00QI9tEVok6cpJ7,Training,Ctrl,0,1,0,2,393,473,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,2.0318642233727546,-2,2,0.3333333333333333,0.47712125471966244
R_01zssoEgr1bEecx,Exp,Ord,3,1,2,5,457,310,10,Ord_3_219.6_147.4,219.6,147.4,457.5,307.0833333333333,8,ClickHighDeg,3,FALSE,2.959213484094136,-2,2,0.2,0.47712125471966244
R_01zssoEgr1bEecx,Exp,Ord,5,1,3,8,390,497,51,Ord_5_186.1_239.4,186.1,239.4,387.7083333333333,498.75,51,ClickHighDeg,1,TRUE,2.8834417127993412,0,0,0,0
R_01zssoEgr1bEecx,Exp,Ord,8,1,1,6,307,409,49,Ord_8_149_197.1,149,197.1,310.4166666666667,410.625,16,ClickHighDeg,2,FALSE,3.7834159315506457,-33,33,0.673469387755102,1.5314789170422551
R_01zssoEgr1bEecx,Training,Ord,0,1,0,2,423,259,6,Ord_0_202.8_123.3,202.8,123.3,422.5,256.875,6,ClickHighDeg,1,TRUE,2.1830311495716224,0,0,0,0
R_02JW8bTjiC9LnaN,Exp,Cir,3,1,1,6,274,673,10,Cir_3_132.3_322.6,132.3,322.6,275.625,672.0833333333334,4,ClickHighDeg,7,FALSE,1.865717764769824,-6,6,0.6,0.8450980400142568
R_02JW8bTjiC9LnaN,Exp,Cir,7,1,3,2,58,499,84,Cir_7_28_240.5,28,240.5,58.333333333333336,501.0416666666667,7,ClickHighDeg,15,FALSE,2.0686985978844206,-77,77,0.9166666666666666,1.8920946026904804
R_02JW8bTjiC9LnaN,Exp,Cir,9,1,2,6,456,40,34,Cir_9_218.638079689_19.59539668,218.638079689,19.59539668,455.49599935208335,40.82374308333333,1,ClickHighDeg,21,FALSE,0.9656962878876129,-33,33,0.9705882352941176,1.5314789170422551
R_02JW8bTjiC9LnaN,Training,Cir,0,1,0,2,233,44,6,Cir_0_110.7_19.7,110.7,19.7,230.625,41.041666666666664,6,ClickHighDeg,1,TRUE,3.793726546696681,0,0,0,0
R_06aJ1UJlmyKQ893,Exp,Siz,3,1,3,5,341,292,10,Ctrl_3_163_138.2,163,138.2,339.5833333333333,287.9166666666667,10,ClickHighDeg,1,TRUE,4.322100826629969,0,0,0,0
R_06aJ1UJlmyKQ893,Exp,Siz,5,1,2,8,427,355,51,Ctrl_5_204.4_170,204.4,170,425.8333333333333,354.1666666666667,51,ClickHighDeg,1,TRUE,1.4337208778404422,0,0,0,0
R_06aJ1UJlmyKQ893,Exp,Siz,8,1,1,2,341,350,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,0.9138213416442039,0,0,0,0
R_06aJ1UJlmyKQ893,Training,Siz,0,1,0,2,482,360,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE,2.1846211214864035,0,0,0,0
R_0dEqWPdQqQL91nj,Exp,Phr,1,1,2,4,471,487,29,Ctrl_1_226.6_233.9,226.6,233.9,472.0833333333333,487.2916666666667,25,ClickHighDeg,3,FALSE,1.121909334819675,-4,4,0.13793103448275862,0.6989700043360189
