Demo-ResponseID,QType,Condition,Dataset,Task,Response,DatasetOrder,TaskOrder,CorrectAnswer,RawDifference,AbsDifference,Percentage,LogError,ClustConf
R_3CTSa5wMpWHZtWE,Exp,Ctrl,1,NumClust,2,1,9,3,-1,1,0.3333333333333333,0.3010299956639812,Somewhat confident (51-75%)
R_2anUpyXVLx94k1W,Exp,Ctrl,1,NumClust,5,3,8,3,2,2,0.6666666666666666,0.47712125471966244,Very confident (76-100%)
R_2qa3hYvHBBxnKIN,Exp,Ctrl,1,NumClust,45,1,8,3,42,42,14,1.6334684555795864,Somewhat confident (51-75%)
R_SNTJVpXYyCDa1mp,Exp,Ctrl,1,NumClust,4,1,1,3,1,1,0.3333333333333333,0.3010299956639812,Somewhat doubtful (26-50%)
R_2SccHh5ZoHws5d7,Exp,Ctrl,1,NumClust,200,2,2,3,197,197,65.66666666666667,2.296665190261531,Very confident (76-100%)
R_1C6ZLfppnr2hHJ3,Exp,Ctrl,1,NumClust,1,3,7,3,-2,2,0.6666666666666666,0.47712125471966244,Somewhat confident (51-75%)
R_8d1VqNkok6YG0zD,Exp,Ctrl,1,NumClust,4,3,8,3,1,1,0.3333333333333333,0.3010299956639812,Very confident (76-100%)
R_1PRB2ZJPaDyYg5u,Exp,Ctrl,1,NumClust,4,1,9,3,1,1,0.3333333333333333,0.3010299956639812,Very confident (76-100%)
R_x8YEnmKnNoodq4p,Exp,Ctrl,1,NumClust,4,1,9,3,1,1,0.3333333333333333,0.3010299956639812,Very confident (76-100%)
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,LargeClust1,93,2,7,60,33,33,0.55,1.5314789170422551,NA
R_2CJlxPVOq40Kmxe,Exp,Ctrl,1,LargeClust1,100,2,4,60,40,40,0.6666666666666666,1.6127838567197355,NA
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,LargeClust1,96,2,4,60,36,36,0.6,1.568201724066995,NA
R_3Jx9Rmx7OIyFX2Q,Exp,Ctrl,1,LargeClust1,100,1,4,60,40,40,0.6666666666666666,1.6127838567197355,NA
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,LargeClust1,95,3,1,60,35,35,0.5833333333333334,1.5563025007672873,NA
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,LargeClust1,96,3,2,60,36,36,0.6,1.568201724066995,NA
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,LargeClust1,89,2,6,60,29,29,0.48333333333333334,1.4771212547196624,NA
R_245HR5qf4i26YuB,Exp,Ctrl,1,LargeClust1,83,2,2,60,23,23,0.38333333333333336,1.380211241711606,NA
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,LargeClust1,94,3,2,60,34,34,0.5666666666666667,1.5440680443502757,NA
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,LargeClust1,100,2,7,60,40,40,0.6666666666666666,1.6127838567197355,NA
R_10IubgweXpWotmV,Exp,Ctrl,1,LargeClust1,38,2,5,60,-22,22,0.36666666666666664,1.3617278360175928,NA
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,LargeClust1,87,1,6,60,27,27,0.45,1.4471580313422192,NA
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,LargeClust1,92,1,4,60,32,32,0.5333333333333333,1.5185139398778875,NA
R_2WO6qswPY1xZfmu,Exp,Ctrl,1,LargeClust1,95,2,5,60,35,35,0.5833333333333334,1.5563025007672873,NA
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,LargeClust1,92,1,4,60,32,32,0.5333333333333333,1.5185139398778875,NA
R_1kUNKdrtFIWsbQV,Exp,Ctrl,1,LargeClust1,93,2,2,60,33,33,0.55,1.5314789170422551,NA
R_uet7UtnWMSL9e93,Exp,Ctrl,1,LargeClust1,86,1,8,60,26,26,0.43333333333333335,1.4313637641589874,NA
R_1LiKhFg1Ndfoemx,Exp,Ctrl,1,LargeClust1,95,3,3,60,35,35,0.5833333333333334,1.5563025007672873,NA
R_PI124y0stIWTPEJ,Exp,Ctrl,1,LargeClust1,92,1,2,60,32,32,0.5333333333333333,1.5185139398778875,NA
R_1IZ5GSHgwJWj0ek,Exp,Ctrl,1,LargeClust1,85,2,1,60,25,25,0.4166666666666667,1.414973347970818,NA
R_2zGYntlcXNo6Slz,Exp,Ctrl,1,LargeClust1,87,3,5,60,27,27,0.45,1.4471580313422192,NA
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,LargeClust1,92,1,6,60,32,32,0.5333333333333333,1.5185139398778875,NA
R_ehNBFpp3mcRVJ2p,Exp,Ctrl,1,LargeClust1,9,2,4,60,-51,51,0.85,1.7160033436347992,NA
R_UFPXG5SyTMSxzzP,Exp,Ctrl,1,LargeClust1,70,2,4,60,10,10,0.16666666666666666,1.0413926851582251,NA
R_b43e3ri4GTS9iOR,Exp,Ctrl,1,LargeClust1,88,2,5,60,28,28,0.4666666666666667,1.462397997898956,NA
R_sNWCgNnh8BjhxlL,Exp,Ctrl,1,LargeClust1,87,3,1,60,27,27,0.45,1.4471580313422192,NA
R_3RqKAcO9ROqWqN8,Exp,Ctrl,1,LargeClust1,85,3,6,60,25,25,0.4166666666666667,1.414973347970818,NA
R_1IuAyejJJGlWyM2,Exp,Ctrl,1,LargeClust1,95,2,4,60,35,35,0.5833333333333334,1.5563025007672873,NA
R_QgOzhzGgb18gj9T,Exp,Ctrl,1,LargeClust1,73,1,7,60,13,13,0.21666666666666667,1.146128035678238,NA
R_3qjNDydmEsYhWPf,Exp,Ctrl,1,LargeClust1,88,1,6,60,28,28,0.4666666666666667,1.462397997898956,NA
R_aiaGnR9abM343Hb,Exp,Ctrl,1,LargeClust1,19,1,3,60,-41,41,0.6833333333333333,1.6232492903979006,NA
R_1DzNm3T7cdPfJOF,Exp,Ctrl,1,LargeClust1,91,1,1,60,31,31,0.5166666666666667,1.505149978319906,NA
R_2SicdlEiS4QFlxC,Exp,Ctrl,1,LargeClust1,74,1,5,60,14,14,0.23333333333333334,1.1760912590556813,NA
