NodeID,Condition,Dataset,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted
Cir_6_24.2_230,Cir,6,24.2,230,50.416666666666664,479.1666666666667
Cir_6_45.6_80.1,Cir,6,45.6,80.1,95,166.875
Cir_6_125.6_22.3,Cir,6,125.6,22.3,261.6666666666667,46.458333333333336
Cir_6_235.6_323.6,Cir,6,235.6,323.6,490.8333333333333,674.1666666666666
Cir_6_29.7_243.2,Cir,6,29.7,243.2,61.875,506.6666666666667
Cir_6_121.1_23.8,Cir,6,121.1,23.8,252.29166666666666,49.583333333333336
Cir_6_112.2_27.3,Cir,6,112.2,27.3,233.75,56.875
Cir_6_240_321.8,Cir,6,240,321.8,500,670.4166666666666
Cir_6_248.6_317.6,Cir,6,248.6,317.6,517.9166666666666,661.6666666666666
Cir_6_42.8_84,Cir,6,42.8,84,89.16666666666667,175
Cir_6_252.8_315.4,Cir,6,252.8,315.4,526.6666666666666,657.0833333333334
Cir_6_167.8_14.6,Cir,6,167.8,14.6,349.5833333333333,30.416666666666668
Cir_6_20.5_131.3,Cir,6,20.5,131.3,42.708333333333336,273.5416666666667
Cir_6_34_251.8,Cir,6,34,251.8,70.83333333333333,524.5833333333334
Cir_6_163.1_14.9,Cir,6,163.1,14.9,339.7916666666667,31.041666666666668
Cir_6_36.4_255.9,Cir,6,36.4,255.9,75.83333333333333,533.125
Cir_6_14.5_178.6,Cir,6,14.5,178.6,30.208333333333332,372.0833333333333
Cir_6_61.1_61.9,Cir,6,61.1,61.9,127.29166666666667,128.95833333333334
Cir_6_15_188.1,Cir,6,15,188.1,31.25,391.875
Cir_6_19.3_136,Cir,6,19.3,136,40.208333333333336,283.3333333333333
Cir_6_86.9_40.8,Cir,6,86.9,40.8,181.04166666666666,85
Cir_6_269_305.1,Cir,6,269,305.1,560.4166666666666,635.625
Cir_6_83_43.5,Cir,6,83,43.5,172.91666666666666,90.625
Cir_6_107.8_29.2,Cir,6,107.8,29.2,224.58333333333334,60.833333333333336
Cir_6_89_310.5,Cir,6,89,310.5,185.41666666666666,646.875
Cir_6_40.1_87.9,Cir,6,40.1,87.9,83.54166666666667,183.125
