Condition,Dataset,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct
Ctrl,3,10,Ctrl_3_124.3_140.3,124.3,140.3,258.9583333333333,292.2916666666667,7,ClickHighDeg,4,FALSE
Ctrl,3,10,Ctrl_3_279.9_115.3,279.9,115.3,583.125,240.20833333333334,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_288.2_116.6,288.2,116.6,600.4166666666666,242.91666666666666,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_21.6_162.7,21.6,162.7,45,338.9583333333333,2,ClickHighDeg,9,FALSE
Ctrl,3,10,Ctrl_3_57_135.3,57,135.3,118.75,281.875,7,ClickHighDeg,4,FALSE
Ctrl,3,10,Ctrl_3_144_83.6,144,83.6,300,174.16666666666666,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_243.8_176.5,243.8,176.5,507.9166666666667,367.7083333333333,8,ClickHighDeg,3,FALSE
Ctrl,3,10,Ctrl_3_151_88.4,151,88.4,314.5833333333333,184.16666666666666,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_296.3_237.6,296.3,237.6,617.2916666666666,495,5,ClickHighDeg,6,FALSE
Ctrl,3,10,Ctrl_3_198.1_157.6,198.1,157.6,412.7083333333333,328.3333333333333,6,ClickHighDeg,5,FALSE
Ctrl,3,10,Ctrl_3_44.4_221.2,44.4,221.2,92.5,460.8333333333333,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_179.7_150.1,179.7,150.1,374.375,312.7083333333333,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_48.6_212.5,48.6,212.5,101.25,442.7083333333333,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_293.7_70.1,293.7,70.1,611.875,146.04166666666666,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_46.6_117.7,46.6,117.7,97.08333333333333,245.20833333333334,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_293.5_203.9,293.5,203.9,611.4583333333334,424.7916666666667,2,ClickHighDeg,9,FALSE
Ctrl,3,10,Ctrl_3_256.4_197.4,256.4,197.4,534.1666666666666,411.25,5,ClickHighDeg,6,FALSE
Ctrl,3,10,Ctrl_3_59.6_152.5,59.6,152.5,124.16666666666667,317.7083333333333,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_124.8_158.1,124.8,158.1,260,329.375,2,ClickHighDeg,9,FALSE
Ctrl,3,10,Ctrl_3_46.2_154.3,46.2,154.3,96.25,321.4583333333333,6,ClickHighDeg,5,FALSE
Ctrl,3,10,Ctrl_3_282.9_72.7,282.9,72.7,589.375,151.45833333333334,4,ClickHighDeg,7,FALSE
Ctrl,3,10,Ctrl_3_295.3_132.4,295.3,132.4,615.2083333333334,275.8333333333333,2,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_229.3_170.3,229.3,170.3,477.7083333333333,354.7916666666667,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_214_162.2,214,162.2,445.8333333333333,337.9166666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_213.9_151.8,213.9,151.8,445.625,316.25,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_192.1_24.2,192.1,24.2,400.2083333333333,50.416666666666664,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_213.7_210.5,213.7,210.5,445.2083333333333,438.5416666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_174.9_188.1,174.9,188.1,364.375,391.875,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_251.5_200.4,251.5,200.4,523.9583333333334,417.5,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_216.6_169.8,216.6,169.8,451.25,353.75,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_219.9_157.2,219.9,157.2,458.125,327.5,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_88.7_235.9,88.7,235.9,184.79166666666666,491.4583333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_225.1_180.7,225.1,180.7,468.9583333333333,376.4583333333333,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_218.7_180.3,218.7,180.3,455.625,375.625,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_204.8_190.7,204.8,190.7,426.6666666666667,397.2916666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_189.3_179.2,189.3,179.2,394.375,373.3333333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_217.2_188.6,217.2,188.6,452.5,392.9166666666667,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_219.9_168,219.9,168,458.125,350,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_226.4_166.9,226.4,166.9,471.6666666666667,347.7083333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_261.9_168.7,261.9,168.7,545.625,351.4583333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_166.4_185,166.4,185,346.6666666666667,385.4166666666667,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_222.6_172.8,222.6,172.8,463.75,360,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_156.3_125,156.3,125,325.625,260.4166666666667,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_209.3_174.4,209.3,174.4,436.0416666666667,363.3333333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_220.9_144.9,220.9,144.9,460.2083333333333,301.875,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_214.2_138.5,214.2,138.5,446.25,288.5416666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_219.5_154.6,219.5,154.6,457.2916666666667,322.0833333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_161_212.9,161,212.9,335.4166666666667,443.5416666666667,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_216_166.6,216,166.6,450,347.0833333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_211.6_160.1,211.6,160.1,440.8333333333333,333.5416666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_200.9_148.5,200.9,148.5,418.5416666666667,309.375,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_209.3_188.9,209.3,188.9,436.0416666666667,393.5416666666667,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_211.3_156.4,211.3,156.4,440.2083333333333,325.8333333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_199.5_157.3,199.5,157.3,415.625,327.7083333333333,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_227_174,227,174,472.9166666666667,362.5,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_156.1_135.1,156.1,135.1,325.2083333333333,281.4583333333333,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_125.1_220.3,125.1,220.3,260.625,458.9583333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_250_160.2,250,160.2,520.8333333333334,333.75,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_196.2_150.2,196.2,150.2,408.75,312.9166666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_185_207.5,185,207.5,385.4166666666667,432.2916666666667,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_235.7_174.4,235.7,174.4,491.0416666666667,363.3333333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_244_175.7,244,175.7,508.3333333333333,366.0416666666667,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_159.7_224.4,159.7,224.4,332.7083333333333,467.5,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_168_216.7,168,216.7,350,451.4583333333333,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_202_159.3,202,159.3,420.8333333333333,331.875,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_178.3_156.2,178.3,156.2,371.4583333333333,325.4166666666667,4,ClickHighDeg,9,FALSE
Ctrl,5,51,Ctrl_5_164.3_215,164.3,215,342.2916666666667,447.9166666666667,1,ClickHighDeg,12,FALSE
Ctrl,5,51,Ctrl_5_201.8_187,201.8,187,420.4166666666667,389.5833333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_219.1_164.9,219.1,164.9,456.4583333333333,343.5416666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_213.4_165,213.4,165,444.5833333333333,343.75,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_219.4_185.5,219.4,185.5,457.0833333333333,386.4583333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_277.9_179.5,277.9,179.5,578.9583333333334,373.9583333333333,1,ClickHighDeg,12,FALSE
